epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,1.244197596444024,0.2286535591751337,0.0806,0.2978,0.5148,0.5738524198532104,0.03789525479078293,0.5662791132926941,0.027994824573397636,0.5817853808403015,0.04468071460723877,0.5116000175476074
10,1.2024155192905002,0.28357015476226805,0.128,0.3646,0.5862,0.5591045618057251,0.04437536746263504,0.530872106552124,0.0260580126196146,0.5894456505775452,0.03973042592406273,0.5180000066757202
15,1.1792086961534287,0.28687359564304354,0.1126,0.3858,0.6144,0.5561794638633728,0.04811350628733635,0.522468090057373,0.027498850598931313,0.5947169661521912,0.03622826561331749,0.5333999991416931
20,1.1614955700768366,0.2979958795905113,0.1388,0.3806,0.6148,0.5524892807006836,0.050606619566679,0.5149566531181335,0.028134390711784363,0.5940059423446655,0.035163745284080505,0.5252000093460083
25,1.1480905834833781,0.2886935314655304,0.1174,0.3822,0.6128,0.547016441822052,0.05507321655750275,0.5049264430999756,0.02978224866092205,0.5936115384101868,0.035728927701711655,0.5253999829292297
30,1.1377859523561267,0.3022325724363327,0.1286,0.4028,0.63,0.544557511806488,0.05458764359354973,0.5044506788253784,0.030955413356423378,0.5916014909744263,0.035371340811252594,0.5397999882698059
35,1.1275056955549452,0.3198341170787811,0.1532,0.4086,0.6384,0.5438377857208252,0.05634506419301033,0.5015100836753845,0.03298600763082504,0.5917996764183044,0.03476710245013237,0.5311999917030334
40,1.118800523016188,0.31078063735961914,0.1424,0.4066,0.6348,0.5447635650634766,0.05682618170976639,0.500851035118103,0.0331796258687973,0.5909096598625183,0.03619327023625374,0.5123999714851379
45,1.1103490601645576,0.3107680261135101,0.145,0.406,0.6328,0.5424663424491882,0.05818220600485802,0.49776625633239746,0.03320029377937317,0.5928729772567749,0.034139759838581085,0.5299999713897705
50,1.1040524186028375,0.32283777222633364,0.1674,0.4034,0.6382,0.5434821248054504,0.054482828825712204,0.5033182501792908,0.0337618887424469,0.5875192880630493,0.03557047247886658,0.5230000019073486
