epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,0.07388717611205244,0.1328643494606018,0.0796,0.1464,0.2284,,,,,,,
10,0.06209559839900086,0.13946406773328782,0.0758,0.1562,0.2578,,,,,,,
15,0.05641305629513802,0.18245896953344345,0.12,0.1984,0.2996,,,,,,,
20,0.05279257707604663,0.17000093524456025,0.105,0.1864,0.2916,,,,,,,
25,0.049847654857146484,0.17472860064506532,0.108,0.1894,0.3038,,,,,,,
30,0.04795695764597205,0.18961357367038728,0.1196,0.2058,0.3292,,,,,,,
35,0.04621828472643747,0.19517436094284057,0.1258,0.2108,0.335,,,,,,,
40,0.04488746340722582,0.1839599553346634,0.112,0.203,0.3266,,,,,,,
45,0.04383330701357843,0.2062932658672333,0.1286,0.236,0.3536,,,,,,,
50,0.04292199849051345,0.18003210306167602,0.102,0.208,0.3254,,,,,,,
55,0.0420359308222275,0.20085625398159027,0.1196,0.2246,0.3626,,,,,,,
60,0.04123899081025328,0.21415180044174195,0.1326,0.2454,0.379,,,,,,,
65,0.04080030643051303,0.21320524220466613,0.1338,0.2386,0.3638,,,,,,,
70,0.0402216637350582,0.19427788803577423,0.1142,0.2172,0.3488,,,,,,,
75,0.039587900435315716,0.19922697451114654,0.118,0.2268,0.361,,,,,,,
80,0.03893504250653493,0.22147691099643707,0.1454,0.24,0.3766,,,,,,,
85,0.038563054374110756,0.19759453291893006,0.1176,0.2226,0.3532,,,,,,,
90,0.03815116887970458,0.2009123644590378,0.1162,0.2322,0.3714,,,,,,,
95,0.037786055110775464,0.20906139011383057,0.127,0.2334,0.3698,,,,,,,
100,0.03735603470680545,0.2016450502872467,0.1172,0.2306,0.3708,,,,,,,
105,0.03702569751704152,0.20204772806167604,0.118,0.2336,0.3686,,,,,,,
110,0.036773851948377526,0.21114208912849428,0.1276,0.2412,0.3716,,,,,,,
115,0.036456584506951994,0.20442685339450836,0.1196,0.2332,0.3768,,,,,,,
120,0.03612144612684183,0.20913146679401398,0.1318,0.2266,0.37,,,,,,,
125,0.035886986346844785,0.1962473309159279,0.1104,0.2294,0.3668,,,,,,,
130,0.03559389200116795,0.22383445090055465,0.1444,0.2462,0.3828,,,,,,,
135,0.03533604921530656,0.1976179095387459,0.1124,0.2288,0.367,,,,,,,
140,0.035216409139200135,0.20432008551359176,0.1188,0.2318,0.3726,,,,,,,
145,0.03501659340518212,0.20299367232322693,0.116,0.234,0.3714,,,,,,,
150,0.03489335294954074,0.19790129821300506,0.1118,0.2328,0.3702,,,,,,,
155,0.034595194347877875,0.19886846677064896,0.1134,0.2272,0.3708,,,,,,,
160,0.03445289153575013,0.20922703360319136,0.1256,0.2376,0.3788,,,,,,,
165,0.03426480605965097,0.21150949914455414,0.1244,0.245,0.3882,,,,,,,
170,0.03410360983632738,0.207763036775589,0.1264,0.2296,0.3686,,,,,,,
175,0.03387631950332266,0.2067633973121643,0.1236,0.23,0.3848,,,,,,,
180,0.033777762505132244,0.20005674793720246,0.1172,0.2294,0.366,,,,,,,
