epoch,avg_loss,mrr,hits@1,hits@3,hits@10,g_mean_all,g_std_all,g_mean_img,g_std_img,g_mean_noimg,g_std_noimg,g_frac_img_in_sample
5,0.024445824919415538,0.148559579372406,0.071,0.148,0.314,,,,,,,
10,0.019086148960540367,0.17311803770065307,0.09,0.194,0.332,,,,,,,
15,0.016595421193510686,0.2005330891609192,0.116,0.217,0.383,,,,,,,
20,0.015227033248122194,0.19195980620384218,0.105,0.195,0.378,,,,,,,
25,0.014288399910774865,0.2129773770570755,0.12,0.226,0.413,,,,,,,
30,0.013373771936657201,0.21688462114334106,0.129,0.232,0.409,,,,,,,
35,0.012533871374264555,0.2148619771003723,0.12,0.235,0.43,,,,,,,
40,0.011986803759722725,0.23905442810058594,0.147,0.252,0.432,,,,,,,
45,0.011503108896584692,0.25036335587501524,0.155,0.276,0.457,,,,,,,
50,0.01089734988329981,0.23691729807853698,0.145,0.253,0.446,,,,,,,
55,0.010334386144102993,0.25718775534629823,0.163,0.289,0.457,,,,,,,
60,0.010188567784529081,0.24129043078422546,0.143,0.271,0.462,,,,,,,
65,0.00985690700441697,0.25144759988784793,0.159,0.271,0.464,,,,,,,
70,0.009578624652931467,0.2403355417251587,0.139,0.267,0.459,,,,,,,
75,0.009115277693030964,0.2507261321544647,0.146,0.286,0.459,,,,,,,
80,0.008699115112999846,0.24364941120147704,0.144,0.267,0.457,,,,,,,
85,0.008622379017699706,0.2577340235710144,0.153,0.288,0.473,,,,,,,
90,0.008432111620143252,0.23907466638088226,0.141,0.271,0.451,,,,,,,
95,0.008166793133377245,0.24535642433166505,0.145,0.279,0.456,,,,,,,
100,0.00802805081873789,0.24249811363220214,0.139,0.294,0.447,,,,,,,
105,0.007852959553833659,0.2580998158454895,0.157,0.303,0.457,,,,,,,
110,0.007667375124966432,0.2435664098262787,0.135,0.285,0.473,,,,,,,
115,0.007441838991852771,0.2412093381881714,0.129,0.279,0.478,,,,,,,
120,0.007417379296384752,0.25758050608634947,0.162,0.289,0.465,,,,,,,
125,0.007167498950270544,0.23915171551704406,0.136,0.284,0.448,,,,,,,
130,0.0069497751890019955,0.25946515989303587,0.162,0.289,0.455,,,,,,,
135,0.006952999355761628,0.2409048743247986,0.145,0.278,0.433,,,,,,,
140,0.0067856986715923995,0.24053064227104187,0.147,0.27,0.43,,,,,,,
145,0.006713899397781413,0.24056529855728148,0.135,0.279,0.458,,,,,,,
150,0.00660473550976205,0.2511160717010498,0.16,0.277,0.446,,,,,,,
155,0.006541098487152914,0.2250577152967453,0.12,0.261,0.447,,,,,,,
160,0.006553168001119047,0.2394139108657837,0.134,0.28,0.45,,,,,,,
165,0.006245286010150602,0.23047352099418641,0.13,0.266,0.437,,,,,,,
170,0.00625964914108504,0.2221561826467514,0.123,0.251,0.444,,,,,,,
175,0.006143412779477474,0.23267198646068574,0.132,0.278,0.438,,,,,,,
180,0.006110334147754321,0.22991560351848603,0.131,0.265,0.448,,,,,,,
